rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1882,2361,4.327998973007739,-4.327998973007739,-4.327998973007739,True,1.5830437065252498,0.33602707881480454,0.37609195310257454,0.16768792132411572,0.0,0.47430133229802335,11.068883489623996,2.124816217380539,21.58981944522978,12.970872577835129,483.1587696174627,2060.0199022925303,0.9229915033248004,0.5804686415675917,6
1883,2983,4.338348504430829,-4.338348504430829,-4.344022131371045,True,1.3726475693196185,0.2058628846570025,0.4934870967898767,0.21282558010732308,2.0,0.3536957931257607,1.782834722944199,1.5692217636120938,18.238681929619087,13.224271928503024,268.1746766076741,1497.7044850497502,0.8841088873308971,0.7205486740453951,8
1884,1743,4.34680213992357,-4.34680213992357,-4.34680213992357,True,1.5429431947074492,0.31655786220299664,0.5756859793336122,0.2511427748582607,5.0,0.697813649847731,0.6813895542318447,2.5715983237911173,21.990188562445383,10.44051266798376,430.15747478171494,2145.7521694105835,0.9016570873695362,0.558161389097686,8
1885,1256,4.4165679015484525,-4.4165679015484525,-4.419157644442139,True,1.0102011107407511,0.276696784645319,0.5823806695640088,0.2853345149941742,3.0,0.5194134695470333,0.49269415327267296,1.9374258983880281,20.260127019137144,10.590432408444938,496.39862729236484,2481.4006201922894,0.6317176898010075,0.6087405136786401,6
1886,947,4.4138535040304205,-4.4138535040304205,-4.421176774857497,True,1.014772979118276,0.3658812053554469,0.642997773024702,0.14623572496697307,1.0,0.8564160352926269,1.91560975504039,3.1421908993673733,19.44845317559914,10.17977063373372,453.7865754916952,2820.0677105431605,0.7655397385949625,0.5108454986115959,8
1887,1556,4.437234297307147,-4.437234297307147,-4.437234297307147,True,1.1878916986555066,0.3428452732756287,0.8900739598655589,0.19612453972678134,2.0,0.4631244913377481,6.129093357920292,1.5496174046339337,18.893567432483522,9.699603493134033,278.6139202894336,2148.4184753499117,0.6968095755809505,0.969818938752112,8
1888,2598,4.444333323006753,-4.444333323006753,-4.444333323006753,True,1.5954949499137698,0.24169265179300778,0.4836121567525793,0.2481333579257864,3.0,0.3798459190803276,1.7090258510788425,2.3599871743946093,14.098225371683244,7.40603152237118,319.17574498802423,2505.434013311252,0.8799915546469872,0.5359935101721942,8
1889,1369,4.46650562325285,-4.46650562325285,-4.46650562325285,True,1.1169625020525293,0.2260061287892327,0.7635275635868312,0.20113873868305443,2.0,0.36216254344790233,5.429234975899165,1.9702892952487632,18.771281482557622,11.883873541222117,210.92923556852125,1933.3532060740474,0.8256705170404107,0.695916121851201,8
1890,2636,4.472397407586116,-4.472397407586116,-4.472397407586116,True,1.6594940020264075,0.17764989874114562,0.7634699534599677,0.12636154145443904,2.0,0.24717142161599276,4.015993622126755,2.393683868383407,23.885119603936143,15.227283503431098,219.74473202445125,1686.9338798305766,0.623050763637297,0.5318961246056999,8
1891,2886,4.4741022873157466,-4.4741022873157466,-4.490535299104908,True,1.2907698330699384,0.2989232765412003,0.60448654141624,0.1783328722810703,0.0,0.3104183345257798,12.420196530587265,2.1143892422337602,22.483301713948194,15.453267175643852,240.7455769014805,1554.864964922911,0.8629407571836879,0.8939439310965488,8
